GSE,CONTROL,COPD,COUNTRY,SUBMISSION_DATE,PLATFORM,NUM_GENES,AGE_MEAN,AGE_MEDIAN,AGE_RANGE,SEX_F,SEX_M,SMOKING_STATUS,PACKYEAR
GSE27597,16,48,USA,Mar 01 2011,GPL5175,17325,59.625,60,55-63,24,40,NA,30
GSE106986,5,14,Germany,Nov 16 2017,GPL13497,21690,66.84210526315789,69,44-79,7,12,NA,NA
GSE37768,20,18,Spain,May 04 2012,GPL570,23521,NA,NA,NA,NA,NA,NA,NA
GSE57148,91,96,South Korea,Apr 28 2014,GPL11154,25288,NA,NA,NA,NA,NA,NA,NA
GSE47460,108,145,USA,May 29 2013,GPL14550,15181,63.48018648018648,65,23-87,NA,NA,"1-Current, 2-Ever (>100), 3-Never, 17, 291, 103",NA
GSE38974,9,23,USA,Jun 27 2012,GPL4133,19750,61.26086956521739,62,44-79,NA,NA,"SMOKER, 32",40
GSE8581,19,16,USA,"Jul 12 2007,Jul 13 2007,Jul 17 2007,Jul 20 2007,Jul 24 2007,Jul 25 2007",GPL570,23521,65.7719298245614,67,39-84,NA,NA,,NA
GSE1650,12,18,USA,Aug 06 2004,GPL96,13516,NA,NA,NA,NA,NA,NA,NA
GSE1122,5,10,USA,Mar 09 2004,GPL80,5615,NA,NA,NA,NA,NA,NA,NA
GSE119040,4,6,Argentina,Aug 24 2018,GPL96,13516,NA,NA,NA,NA,NA,NA,NA
GSE103174,16,37,Spain,Aug 28 2017,GPL13667,15021,66.15094339622641,67,48-80,NA,NA,"no, yes, 24, 29",40.25
GSE124180,15,6,USA,Dec 20 2018,GPL16791,52393,62.32857142857143,61.3,45.3-73.8,NA,NA,"Current, Former, Never, 7, 10, 4",NA
