"genes","TE.random","pval.random","tau2","I2","pval.Q","num_exp","qval.random","qval.Q"
"IL1R2",-0.0728753347084796,0.876633912429862,2.31175018773113,0.984407104639075,2.44919880975117e-131,11,0.967899798883181,5.90918196828665e-127
"SLCO4A1",0.107333525101052,0.791326112473038,1.46266972295502,0.980693807561307,9.98415379713273e-95,10,0.940873244438042,8.02958928878071e-91
"FKBP5",0.0126958252101661,0.969270406613578,1.09913396681583,0.981452291736279,1.87933671396453e-109,11,0.993807409255903,2.26713784489111e-105
"SH3PXD2B",0.0528883292793894,0.811505852659828,0.414606349232328,0.979335657573127,1.05356439722205e-78,9,0.948711824680857,5.08386964235528e-75
"GALNTL2",-0.122146911536079,0.770029640350688,0.818948619312096,0.979695685045973,1.65686735839155e-41,5,0.935536632368019,1.08041185826792e-38
"IRAK3",-0.0300569930845856,0.889622268253745,0.393139149063519,0.972494771825474,3.63641333582371e-58,9,0.97181150277587,8.77357445534186e-55
"TIMP4",0.0743573477196906,0.749476177812482,0.555088751639705,0.969460292856827,2.41899601713063e-64,11,0.930750038196508,7.29538961316384e-61
"CEACAM4",-0.0383845575827096,0.851332441017068,0.373428775636783,0.968209524705494,9.95807533032991e-56,10,0.960415630235346,1.84814218072977e-52
"SULT1B1",-0.0523578403096813,0.83407152390189,0.585459102064272,0.968532507976041,2.41326062774648e-56,10,0.955311668465471,5.29315810596721e-53
"ITGA10",-0.356049438741836,0.0516668594490865,0.256830154928342,0.955213592297399,2.00076656767343e-34,9,0.413052206110826,7.54257734035263e-32
"LAMB1",-0.314197821096774,0.0549841507139254,0.264475253555646,0.96443943118794,1.4460549741472e-54,11,0.423158725446532,2.49206916866068e-51
"ANPEP",-0.0916483942970028,0.614826106015458,0.332334541980705,0.958544882717193,3.78957549068155e-46,11,0.883122155723442,3.38633658754347e-43
"ST6GALNAC3",-0.458222911126197,0.0340952958575637,0.362644954464492,0.960354025355759,2.68626566590616e-39,9,0.348566611506542,1.50724492375158e-36
"CLEC4E",-0.0406180190934182,0.897046628576979,0.812746997707616,0.967850524324358,3.03816175255761e-49,9,0.973408069819457,3.05423869183156e-46
"IL1RL1",-0.177002924659953,0.519934913267796,0.677017520962363,0.960188585500253,3.05924672127896e-48,11,0.845257708537977,2.9524178257719e-45
"IL4R",-0.113518113065343,0.445365447984394,0.213970690235652,0.955180734634282,2.37677923676365e-42,11,0.814595721591955,1.68660448957049e-39
"RPS6KA2",-0.230990285101704,0.102119463127569,0.177438030133886,0.965478867138566,5.45256040804316e-51,10,0.531142249491571,6.92389078762407e-48
"S100A12",0.0688572251686835,0.853469860298101,1.32594731625401,0.961601975431071,3.46901445649005e-50,11,0.960750051955337,3.98556722817788e-47
"MERTK",-0.293818232811571,0.123040473628617,0.337002518713643,0.966322306230576,2.27030951994799e-52,10,0.566634378170957,3.42348486173657e-49
"CD163",-0.158257619915267,0.589176557561059,0.86537177018034,0.962433177923542,2.1216314364303e-51,11,0.873912627829563,2.84381120370855e-48
"RNASE2",-0.124813156983955,0.628552156533448,0.65089256644246,0.958261330709127,8.36954070888341e-46,11,0.888197134864853,7.21185388154393e-43
"EGR2",0.406361195609706,0.0516620751103693,0.384087783181114,0.933145023834154,4.55332257805518e-27,11,0.413052206110826,7.96072564063314e-25
"MGAM",0.120838661816775,0.67648901403443,0.785680149677471,0.966041635768266,6.65569412947088e-52,10,0.905852505361788,9.4459960153967e-49
"DAAM2",-0.250723048572583,0.0252768325003745,0.101575584679922,0.941613997635154,1.21880628075301e-28,10,0.303197989755975,2.88295481722822e-26
"AOX1",-0.0980881475557177,0.627598153874418,0.401183958710985,0.954711564003696,7.24407199683798e-42,11,0.887837036559841,4.85493680743639e-39
"PTPRG",-0.233285833898707,0.04972472271507,0.120387551765571,0.943505520918337,1.03426550419887e-29,10,0.405992685261081,2.74216745272595e-27
"CD1C",0.187437216160565,0.26155083022323,0.242927836676411,0.952668993504686,3.8292340520782e-36,10,0.704818234927226,1.64978446383019e-33
"SMAP2",0.138740588759695,0.485809977909715,0.332426461847501,0.967984243746818,1.82941904122758e-49,9,0.832711305819937,1.91906057424773e-46
