GSE,CONTROL,COPD,OTHER,COUNTRY,SUBMISSION_DATE,PLATFORM,NUM_GENES,H_AGE_MEAN,H_AGE_MEDIAN,H_AGE_RANGE,H_SEX_F,H_SEX_M,H_SMOKING_STATUS,H_PACKYEAR,COPD_AGE_MEAN,COPD_AGE_MEDIAN,COPD_AGE_RANGE,COPD_SEX_F,COPD_SEX_M,COPD_SMOKING_STATUS,COPD_PACKYEAR
GSE27597,16,48,0,USA,Mar 01 2011,GPL5175,17325,60.5,60.5,59-62,16,NA,,24,59.333333333333336,60,55-63,24,24,,34
GSE106986,5,14,0,Germany,Nov 16 2017,GPL13497,21690,62.6,69,44-76,5,NA,"NON-SMOKER, 5",NA,68.35714285714286,69.5,54-79,2,12,"EX-SMOKER, SMOKER, 8, 6",NA
GSE37768,20,18,0,Spain,May 04 2012,GPL570,23521,NA,NA,Inf--Inf,NA,NA,"NON-SMOKER, SMOKER, 9, 11",NA,NA,NA,Inf--Inf,NA,NA,,NA
GSE57148,20,18,0,Spain,May 04 2012,GPL570,23521,NA,NA,Inf--Inf,NA,NA,"NON-SMOKER, SMOKER, 9, 11",NA,NA,NA,Inf--Inf,NA,NA,,NA
GSE47460,91,145,193,USA,May 29 2013,GPL14550,15181,63.79120879120879,65,32-87,NA,NA,"1-Current, 2-Ever (>100), 3-Never, 2, 54, 24",NA,65.89655172413794,67,28-84,NA,NA,"1-Current, 2-Ever (>100), 3-Never, 11, 125, 9",NA
GSE38974,9,23,0,USA,Jun 27 2012,GPL4133,19750,NA,NA,Inf--Inf,NA,NA,"SMOKER, 9",NA,61.26086956521739,62,44-79,12,11,"SMOKER, 23",40
GSE8581,19,16,23,USA,"Jul 12 2007,Jul 13 2007,Jul 17 2007,Jul 20 2007,Jul 24 2007,Jul 25 2007",GPL570,23521,64.88888888888889,67.5,40-84,14,5,,NA,64.1875,63.5,52-77,7,9,,NA
GSE1650,12,18,0,USA,Aug 06 2004,GPL96,13516,NA,NA,Inf--Inf,NA,NA,,NA,NA,NA,Inf--Inf,NA,NA,,NA
GSE1122,5,10,0,USA,Mar 09 2004,GPL80,5615,NA,NA,Inf--Inf,NA,NA,,NA,NA,NA,Inf--Inf,NA,NA,,NA
GSE119040,4,6,0,Argentina,Aug 24 2018,GPL96,13516,NA,NA,Inf--Inf,NA,NA,,NA,NA,NA,Inf--Inf,NA,NA,,NA
GSE103174,16,37,0,Spain,Aug 28 2017,GPL13667,15021,66.0625,67.5,48-78,12,4,"no, yes, 10, 6",35,66.1891891891892,67,51-80,10,27,"no, yes, 14, 23",41.5
GSE124180,15,6,0,USA,Dec 20 2018,GPL16791,52393,62.08,61.4,45.3-73.8,8,7,"Current, Former, Never, 3, 8, 4",NA,62.95,61.150000000000006,59.9-67.7,3,3,"Current, Former, 4, 2",NA
