Accession	Description.x	Extended.Description.x	Organism	No..Samples.x	Platform.x	GEO.SRA.x	FTP.x	SampleType.y	Disease.y	INCLUDED	REASON	Additional_treatment	Note
GSE94916	Host response to the different pathologic conditions	(Submitter supplied) The experiment adresses primary material from pneumonia, malaria, COPD and healthy patients. The transcriptome anaylsis shall shed light on the host response to the different pathologic conditions and hightlight key differences. Investigated cells (PBMCs) were obtained from patient blood by gradient centrifugation	Homo sapiens	24	GPL20844	GPR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94916/	BLOOD	COPD	YES			USING ONLY HEALTY AND COPD
GSE56766	Whole Blood and Stimulated Whole Blood Transcriptomics in COPD.	(Submitter supplied) We observed no transcripts in the whole blood that distinguishes COPD patients and  control smokers.  In contrast, T cell directed stimulation of whole blood, resulted in altered transcriptomic response and separated COPD patients from control smokers	Homo sapiens	206	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56766/	BLOOD	COPD	YES		NO	EXCLUDED STIMULED SAMPLES
GSE42057	Peripheral blood mononuclear cell gene expression in chronic obstructive pulmonary disease	(Submitter supplied) Expression data were generated on 136 subjects from the COPDGene® study using Affymetrix microarrays. Multiple linear regression with adjustment for covariates (gender, age, body mass index, family history, smoking status, pack years) was used to identify candidate genes and Ingenuity Pathway Analysis was used to identify candidate pathways. Candidate genes identified included those that play a role in the immune system, inflammatory responses, and sphingolipid metabolism. more..	Homo sapiens	136	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42057/	BLOOD	COPD	YES		NO	
GSE76705	Complex Disease Subtypes Identified by Network-Based Clustering of Gene Expression Data:  Application to COPD	(Submitter supplied) One of the most common smoking-related diseases, chronic obstructive pulmonary disease (COPD), results from a dysregulated, multi-tissue inflammatory response to cigarette smoke. We hypothesized that systemic inflammatory signals in genome-wide blood gene expression can identify clinically important COPD-related disease subtypes, and we leveraged pre-existing gene interaction networks to guide unsupervised clustering of blood microarray expression data. more..	Homo sapiens	229	GPL570	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76705/	BLOOD_TISSUE	COPD	YES		NO	EXCLUDED RE-ANALYZED SAMPLES
GSE112811	Blood samples from COPD subjects and Healthy Volunteers taken before and after LPS challenge	(Submitter supplied) There is a need for non-invasive imaging protocols to support early phase clinical studies for drugs targeting neutrophilic inflammation. The aim of the study was to quantify whole lung neutrophil accumulation in (i) healthy volunteers (HV) following inhaled lipopolysaccharide (LPS) or saline and (ii) stable COPD patients, using radiolabelled autologous neutrophils and single-photon-emission/computed-tomography (SPECT/CT)	Homo sapiens	64	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112811/	BLOOD	COPD	YES		Yes: inhaled LPS	EXCLUDED LPS SAMPLES
GSE100153	A Transcriptome Fingerprinting Assay for Clinical Immune Monitoring (COPD Datasets)	(Submitter supplied) Development of a cost-effective and practical targeted transcriptional fingerprinting assay (TFA) for monitoring a diverse repertoire of immune responses identified in the human blood transcriptome relying on a modular transcriptional repertoire built on the basis of variations in transcript abundance measured on a genome wide scale in the blood of nearly 1000 subjects across 16 immunologic conditions	Homo sapiens	43	GPL6884	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100153/	BLOOD	COPD	YES			NOT IN META-ANALYSIS
GSE107426	Results of differentially expressed lncRNAs in COPD and healthy smoker using the Arraystar Human LncRNA Microarray	(Submitter supplied) A total of 3,359 lncRNAs revealed by microarray analysis have been differentially expressed between the two groups, 1,995 lncRNAs identified to be up-regulated in COPD, whereas 1,364 lncRNAs have been down-regulated. Meanwhile，a total of 3,283 mRNAs have been differentially expressed, 2,589 mRNAs identified to be up-regulated in COPD, whereas 694 mRNAs were down-regulated	Homo sapiens	2	GPL16956	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107426/	BLOOD	COPD	NO 	IT IS POOLED SAMPLES		
GSE148871	Samples from exacerbating COPD subjects before and after treatment with nemiralisib	(Submitter supplied) To study the effects of treatment with an inhaled PI3Kδ inhibitor during recovery from an exacerbation of Chronic Obstructive Pulmonary Disease (COPD) due to corrective effects on neutrophils that display dysregulated migration characteristics. We aimed to develop novel induced sputum endpoints to demonstrate changes in neutrophil phenotype and proof of mechanism of action in the lung	Homo sapiens	304	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148871/	BLOOD_SPUTUM	COPD	NO 	NO CONTROLS	nemiralisib	
GSE148877	Samples from stable COPD subjects before and after treatment with nemiralisib	(Submitter supplied) To study the effects of treatment with an inhaled PI3Kδ inhibitor during recovery from an exacerbation of Chronic Obstructive Pulmonary Disease (COPD) due to corrective effects on neutrophils that display dysregulated migration characteristics. We aimed to develop novel induced sputum endpoints to demonstrate changes in neutrophil phenotype and proof of mechanism of action in the lung	Homo sapiens	219	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148877/	BLOOD_SPUTUM	COPD	NO 	NO CONTROLS	nemiralisib	
GSE13255	Gene Expression Profiles in Peripheral Blood Mononuclear Cells Can Distinguish Patients with NonSmall Cell Lung Cancer.	(Submitter supplied) We report a 29-gene diagnostic signature, which distinguishes individuals with NSCLC from controls with non-malignant lung disease with 91% Sensitivity, 79% Specificity and a ROC AUC of 92%.  Accuracy on an independent set of 18 NSCLC samples from the same location was 79%. Samples from an independent location including 12 stage 1 NSCLC and 15 controls, achieved an accuracy of 74%.  A study of 18 paired samples taken pre and post surgery shows that the PBMC associated “cancer” signature is significantly reduced after tumor removal, supporting the hypothesis that the signature detected in pre-surgery samples is a response to the presence of the tumor	Homo sapiens	291	GPL6102	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13255/	BLOOD	CANCER	NO 	IT IS COPD VS CANCER	NO	
