Accession	Description	Extended.Description	Organism	No..Samples	Platform	GEO.SRA	FTP	SampleType	Disease	Normal_samples	COPD_samples	NonCOPD_samples	Additional_treatment	Notes
GSE40885	Data expression in alveolar macrophages induced by lipopolysaccharide in humans	(Submitter supplied) Rationale: Lipopolysaccharide (LPS) is ubiquitous in the environment. Inhalation of LPS has been implicated in the pathogenesis and/or severity of several lung diseases, including pneumonia, chronic obstructive pulmonary disease and asthma. Alveolar macrophages are the main resident leukocytes exposed to inhaled antigens.   Objectives: To obtain insight into which innate immune pathways become activated within human alveolar macrophages upon exposure to LPS in vivo	Homo sapiens	14	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40885/	ALVEOLAR_MACROPHAGES	COPD_ASTHMA	CONTROL	NA	14	NO	
GSE13896	Smoking-dependent Reprogramming of Alveolar Macrophage Polarization: Implication for Pathogenesis of COPD	(Submitter supplied) Background: When exposed to specific stimuli, macrophages exhibit distinct activation programs, M1 and M2 polarization, that define macrophage function as inflammatory/immune effectors or anti-inflammatory/tissue remodeling cells, respectively. Due to their position on the lung epithelial surface, alveolar macrophages (AM) directly interact with environmental stimuli such as cigarette smoke, the major risk factor for the development of chronic obstructive pulmonary disease (COPD). more..	Homo sapiens	70	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13896/	ALVEOLAR_MACROPHAGES	COPD	NORMAL	12	58	NO	
GSE130928	Alveolar macrophage immunometabolism and lung function impairment in smoking and chronic obstructive pulmonary disease	(Submitter supplied) Background: Metabolic plasticity involving shifts between mitochondrial respiration and glycolysis is emerging as a crucial component of efficient innate immune cell responses. Alveolar macrophages (AMs), the most abundant antigen-presenting cells in the lung, are dramatically increased in the lungs of patients with chronic obstructive pulmonary disease (COPD). However, COPD AMs exhibit dysfunctional responses to infection with lower phagocytic ability and impairment of mitochondrial reactive oxygen species (ROS) generation. more..	Homo sapiens	88	GPL570	CEL, CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130928/	BALF	COPD	NA	22	S:42, NS:24	No	S:smokers,NS:non-smokers
GSE137557	Expression data from airway basal cells and mucociliary-differentiated epithelium of COPD patients and normal subjects	(Submitter supplied) Continuous stress caused by smoking induces changes in the cell population of small airway epithelium, with basal cell hyperplasia and goblet cell metaplasia at the expense of ciliated cells, and there is now compiling evidence that basal cells play a key role in the early pathogenesis of Chronic Obtructive Pulmonary Disease (COPD). We hypothesized that COPD airway basal cells undergo transcriptomic changes during differentiation that are different from those observed in normal cells and can explain the formation of an abnormal epithelium. more..	Homo sapiens	28	GPL17692	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137557/	BASAL_CELLS	COPD	8	8	NA	NA	NA
GSE162902	Regulation of cigarette smoke-induced airway inflammation by JunD	(Submitter supplied) Cigarette smoke (CS)-induced airway inflammation is an important pathologic feature of chronic obstructive pulmonary disease (COPD). Recent studies suggest a potential role of JunD in the regulation of inflammation, but its role in CS-induced airway inflammation has not been reported. This study aimed to determine its role in CS-induced airway inflammation through bioinformatics analysis and in vitro and in vivo experiments. more..	Homo sapiens	8	GPL24676	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162902/	BEAS-2B_CELL_LINE	NA	NA	NA	NA	NA	NA
GSE100153	A Transcriptome Fingerprinting Assay for Clinical Immune Monitoring (COPD Datasets)	(Submitter supplied) Development of a cost-effective and practical targeted transcriptional fingerprinting assay (TFA) for monitoring a diverse repertoire of immune responses identified in the human blood transcriptome relying on a modular transcriptional repertoire built on the basis of variations in transcript abundance measured on a genome wide scale in the blood of nearly 1000 subjects across 16 immunologic conditions	Homo sapiens	43	GPL6884	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100153/	BLOOD	COPD	24	19	NA	NA	NA
GSE100150	A Transcriptome Fingerprinting Assay for Clinical Immune Monitoring	(Submitter supplied) Development of a cost-effective and practical targeted transcriptional fingerprinting assay (TFA) for monitoring a diverse repertoire of immune responses identified in the human blood transcriptome relying on a modular transcriptional repertoire built on the basis of variations in transcript abundance measured on a genome wide scale in the blood of nearly 1000 subjects across 16 immunologic conditions	Homo sapiens	985	GPL6884	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100150/	BLOOD	COPD_OTHERS	NA	NA	NA	NA	NA
GSE112811	Blood samples from COPD subjects and Healthy Volunteers taken before and after LPS challenge	(Submitter supplied) There is a need for non-invasive imaging protocols to support early phase clinical studies for drugs targeting neutrophilic inflammation. The aim of the study was to quantify whole lung neutrophil accumulation in (i) healthy volunteers (HV) following inhaled lipopolysaccharide (LPS) or saline and (ii) stable COPD patients, using radiolabelled autologous neutrophils and single-photon-emission/computed-tomography (SPECT/CT)	Homo sapiens	64	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112811/	BLOOD	COPD	CONTROL	20	44	Yes: inhaled LPS	
GSE111790	Genomics and response to long-term oxygen therapy in chronic obstructive pulmonary disease	(Submitter supplied) Longitudinal transcriptome analysis for invsetigation of the effect of long-term oxygen therapy in COPD	Homo sapiens	51	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111790/	BLOOD	COPD	NA	51	NA	Yes: oxygen	
GSE94916	Host response to the different pathologic conditions	(Submitter supplied) The experiment adresses primary material from pneumonia, malaria, COPD and healthy patients. The transcriptome anaylsis shall shed light on the host response to the different pathologic conditions and hightlight key differences. Investigated cells (PBMCs) were obtained from patient blood by gradient centrifugation	Homo sapiens	24	GPL20844	GPR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94916/	BLOOD	COPD	NORMAL	6	18	NA	RNA from 4 groups
GSE107426	Results of differentially expressed lncRNAs in COPD and healthy smoker using the Arraystar Human LncRNA Microarray	(Submitter supplied) A total of 3,359 lncRNAs revealed by microarray analysis have been differentially expressed between the two groups, 1,995 lncRNAs identified to be up-regulated in COPD, whereas 1,364 lncRNAs have been down-regulated. Meanwhile，a total of 3,283 mRNAs have been differentially expressed, 2,589 mRNAs identified to be up-regulated in COPD, whereas 694 mRNAs were down-regulated	Homo sapiens	2	GPL16956	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107426/	BLOOD	COPD	NORMAL	1	1	NA	
GSE56768	Whole blood and isolated blood cell transcriptomics in COPD	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	435	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56768/	BLOOD	COPD	NA	435	NA	NO	
GSE56767	Isolated Blood Immune Cell Transcriptomics in COPD	(Submitter supplied) We observed separation of COPD patients from control smokers by CD4+ T cell transcriptomics.   In contrast to CD4+ T cells, there were no transcript differences in whole blood, CD8+ T cells or  CD14+ monocytes	Homo sapiens	229	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56767/	BLOOD	COPD	CONTROL	147	82	NO	
GSE56766	Whole Blood and Stimulated Whole Blood Transcriptomics in COPD.	(Submitter supplied) We observed no transcripts in the whole blood that distinguishes COPD patients and  control smokers.  In contrast, T cell directed stimulation of whole blood, resulted in altered transcriptomic response and separated COPD patients from control smokers	Homo sapiens	206	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56766/	BLOOD	COPD	CONTROL	137	69	NO	
GSE76403	Circulating leukocyte transcriptional signatures in HIV patients with impaired gas exchange	(Submitter supplied) Background: HIV infection is associated with impaired gas transfer in the lung as indicated by a low diffusing capacity (DLCO). Mechanisms for reduced DLCO in the setting of HIV infection are not well understood. We hypothesized that HIV-associated gas exchange impairment is indicative of system-wide perturbations that could be reflected by alterations in peripheral blood gene expression.  Methods: A total of 40 HIV-infected (HIV+) and uninfected (HIV-) men with preserved versus reduced DLCO were selected from a larger cohort study of lung function. more..	Homo sapiens	39	GPL15207	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76403/	BLOOD	HIV	NORMAL	NA	39	NO	Low DLCO
GSE71220	The effect of statins on blood gene expression in COPD	(Submitter supplied) Background: COPD is currently the fourth leading cause of death worldwide and predicted to rank third by 2020. Statins are commonly used lipid lowering agents with documented benefits on cardiovascular morbidity and mortality, and have also been shown to have pleiotropic effects including anti-inflammatory and anti-oxidant activity.   Objective: Identify a gene signature associated with statin use in the blood of COPD patients, and identify molecular mechanisms and pathways underpinning this signature that could explain any potential benefits in COPD. more..	Homo sapiens	617	GPL11532	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71220/	BLOOD	COPD	CONTROL	617	NA	YES: Statins	
