Type	Gene	
Blood	MS4A1	
Blood	MYOM2	
Blood	AFF3	
Blood	NOG	
Blood	VPREB3	
Blood	FCRLA	
Blood	PRKXP1	
Blood	BACH2	
Blood	IGHM	
Blood	BANK1	
Blood	KIF5C	
Blood	GOLGA8A	
Blood	LINC00926	
Blood	UST	
Blood	CD79A	
Blood	BLNK	
Blood	GPRASP1	
Blood	FCRL3	
Blood	CD200	
Blood	BTBD11	
Blood	FAM129C	
Blood	ATF7IP2	
Blood	SERPINE2	
Blood	AK5	
Blood	LOXL1-AS1	
Blood	HLA-DOB	
Blood	AMIGO2	
Blood	TRAF5	
Blood	RNF157-AS1	
Blood	FMNL3	
Blood	ZNF827	
Blood	P2RX5	
Blood	CD96	
Blood	ZNF831	
Blood	TCL1A	
Blood	PPAPDC1B	
Blood	SAV1	
Blood	FAM171A1	
Blood	ZNF256	
Blood	RASGRF2	
Blood	DENND5B	
Blood	DPP4	
Blood	KIAA1377	
Blood	FAM134B	
Blood	LY9	
Blood	LINC01128	
Blood	GATA3	
Blood	BCL11A	
Blood	RAB39B	
Blood	ZNF280B	
Blood	THEM4	
Blood	ZC3H12D	
Blood	FAM213A	
Blood	OSBPL3	
Blood	GPR18	
Blood	FOXO1	
Blood	ALMS1	
Blood	BIRC3	
Blood	LIMA1	
Blood	CXXC5	
Blood	MICAL3	
Blood	DSP	
Blood	FAIM3	
Blood	NSG1	
Blood	LBH	
Blood	PPM1K	
Blood	SUPT3H	
Blood	RGCC	
Blood	S1PR1	
Blood	DYRK2	
Blood	IKZF3	
Blood	CDR2	
Blood	CEP68	
Blood	ATP8B2	
Blood	CD6	
Blood	LEF1	
Blood	PIK3C2B	
Blood	CCDC65	
Blood	OFD1	
Blood	AXIN2	
Blood	SLFN5	
Blood	QRSL1	
Blood	LPAR5	
Blood	ANKH	
Blood	TRABD2A	
Blood	HIVEP2	
Blood	TCF4	
Blood	HIP1R	
Blood	SCML4	
Blood	MAN1C1	
Blood	CLUAP1	
Blood	TMEM177	
Blood	ARL4C	
Blood	SIRPG	
Blood	THNSL1	
Blood	MAGEE1	
Blood	ZNF239	
Blood	NR1D1	
Blood	LINC01184	
Blood	KLHL3	
Blood	SDK2	
Blood	CHIC1	
Blood	ITM2A	
Blood	PKIG	
Blood	ST6GAL1	
Blood	PCNXL2	
Blood	SATB1	
Blood	RHOH	
Blood	LYRM7	
Blood	ABLIM1	
Blood	ZNF709	
Blood	SPTBN1	
Blood	ADORA2A	
Blood	MAML2	
Blood	TRIB2	
Blood	SIDT1	
Blood	PNOC	
Blood	PIK3R1	
Blood	HPCAL4	
Blood	VSIG1	
Blood	NLRC3	
Blood	ZBTB20	
Blood	PFN2	
Blood	SGK223	
Blood	EOMES	
Blood	BEX2	
Blood	ENOSF1	
Blood	DIEXF	
Blood	TTC12	
Blood	TRIM2	
Blood	PTPLAD1	
Blood	CAMK2D	
Blood	IL24	
Blood	LOC101927027	
Blood	TDRKH	
Blood	AMIGO1	
Blood	PNMA1	
Blood	PRKCQ	
Blood	AAK1	
Blood	ZBTB25	
Blood	MFHAS1	
Blood	HCG18	
Blood	ZNF382	
Blood	ZAP70	
Blood	FAM159A	
Blood	SRSF8	
Blood	BEND5	
Blood	ZNF512B	
Blood	LOC100287896	
Blood	MYZAP	
Blood	LIPC	
Blood	LNPEP	
Blood	HS3ST3B1	
Blood	MLLT3	
Blood	SLC25A45	
Blood	LOC100130458	
Blood	GPX7	
Blood	CD83	
Blood	LCK	
Blood	ZNF285	
Blood	KIAA0907	
Blood	PEX3	
Blood	TTC9	
Blood	EPHX2	
Blood	ZNF264	
Blood	IARS	
Blood	GSPT2	
Blood	LOC101929734	
Blood	IL2RB	
Blood	ZCCHC4	
Blood	ZNF141	
Blood	PCED1B	
Blood	ZNF540	
Blood	TTC39C	
Blood	TCL6	
Blood	LOC101928370	
Blood	NFATC2	
Blood	POU6F1	
Blood	IL21R	
Blood	NUP210	
Blood	DOCK10	
Blood	TAF3	
Blood	TRAC	
Blood	DHRS3	
Blood	AASS	
Blood	LINC00526	
Blood	TMEM204	
Blood	ZNF420	
Blood	ID3	
Blood	C19orf12	
Blood	ZNF202	
Blood	ZCCHC14	
Blood	LINC00565	
Blood	ZNF582-AS1	
Blood	NOLC1	
Blood	N6AMT1	
Blood	RPARP-AS1	
Blood	APBA2	
Blood	ZNF493	
Blood	PEBP1	
Blood	GGA2	
Blood	FBLN7	
Blood	SYNRG	
Blood	ZNF567	
Blood	URI1	
Blood	FCER2	
Blood	LOC728613	
Blood	GPA33	
Blood	ZHX2	
Blood	ITPR3	
Blood	ZNF880	
Blood	HNRNPA0	
Blood	GRAMD3	
Blood	SLC7A6	
Blood	BIN1	
Blood	PRKCH	
Blood	BBX	
Blood	SLC41A1	
Blood	SMAGP	
Blood	TCF3	
Blood	CEP41	
Blood	DCAF16	
Blood	LOC100131262	
Blood	JADE2	
Blood	UNG	
Blood	ARMCX2	
Blood	C2orf43	
Blood	TAPT1	
Blood	STAT4	
Blood	CAND2	
Blood	SKAP1	
Blood	COQ10A	
Blood	GRAP	
Blood	TFDP2	
Blood	TRAV8-3	
Blood	TXLNG	
Blood	PTCD2	
Blood	USP51	
Blood	GPHN	
Blood	SBK1	
Blood	PPP1R16B	
Blood	ZNF559	
Blood	TRAF3IP3	
Blood	LOC100291323	
Blood	SWAP70	
Blood	LINS	
Blood	OSGEPL1	
Blood	ACYP1	
Blood	TCEAL2	
Blood	DMRTC1	
Blood	SLC25A23	
Blood	EPB41L2	
Blood	ARL 10.00	
Blood	ZNF416	
Blood	MTUS1	
Blood	HS3ST1	
Blood	ZNF395	
Blood	ECHDC2	
Blood	ZBTB4	
Blood	ZNF879	
Blood	RAPGEF6	
Blood	ENO2	
Blood	AKAP1	
Blood	TRIM68	
Blood	ZNF578	
Blood	ZNF563	
Blood	LRFN3	
Blood	GNB5	
Blood	GDF11	
Blood	METAP1D	
Blood	LRBA	
Blood	MORC4	
Blood	CARD11	
Blood	PPP1R13B	
Blood	KIAA1279	
Blood	CNOT6L	
Blood	KIAA0355	
Blood	CRYGS	
Blood	OBFC1	
Blood	CEPT1	
Blood	RFESD	
Blood	CEP70	
Blood	NFATC3	
Blood	TSPYL4	
Blood	CD7	
Blood	ATP6V0E2	
Blood	TASP1	
Blood	CHMP7	
Blood	MID2	
Blood	NOL9	
Blood	DUSP14	
Blood	SART3	
Blood	SNX9	
Blood	RAB29	
Blood	ZCCHC11	
Blood	CCND2	
Blood	FOXK1	
Blood	FAN1	
Blood	SYNE2	
Blood	AGK	
Blood	SGSM1	
Blood	GEMIN8	
Blood	MDC 1.00	
Blood	ZC3H8	
Blood	PCM1	
Blood	TLE1	
Blood	GKAP1	
Blood	KLHDC4	
Blood	CCL28	
Blood	ESYT1	
Blood	CNKSR2	
Blood	BAG2	
Blood	DUSP16	
Blood	ADRB2	
Blood	SPINK2	
Blood	EXOSC6	
Blood	LOC286071	
Blood	HAUS5	
Blood	GABPB2	
Blood	OPTN	
Blood	RBL2	
Blood	CD247	
Blood	ZNF789	
Blood	BCCIP	
Blood	GSDMB	
Blood	IKZF1	
