"","genes","QEp","pval","qval"
"2","ACVRL1",2.85188826999351e-14,0.0275982869994215,0.280897304107705
"3","EVI2A",8.78799636399001e-07,0.108545536127292,0.513856806078892
"4","USP13",1.08904935867187e-15,0.20239587692271,0.631434512318129
"5","ABCD3",4.49413041750062e-08,0.25206237236446,0.676092531482243
"6","TYMS",1.24597326560736e-09,0.553368995554846,0.871469245404469
"7","SLC25A4",0.00131674839843234,5.75806064142666e-05,0.00518451264028063
"8","AKAP1",8.85809478720052e-09,0.221663402493104,0.651400369937277
"9","KIF14",7.86189361843469e-05,0.224402379641208,0.6546285697952
"10","KRR1",5.71151120169586e-09,0.320648266678863,0.73246067412338
"11","MAP3K10",1.29538563566026e-07,0.261554760510366,0.682431597072537
"12","FKBP2",2.2819559637266e-14,0.239247893129473,0.663280531332325
"13","DDX1",0.000119737206049307,0.0956483141093951,0.491299613767391
"14","EIF2S2",3.36710561260189e-08,0.0455863187134606,0.364645433478622
"15","PGC",4.61732287026956e-08,0.190941470366484,0.614544984049244
"16","RAD23A",3.86976033439755e-10,0.249020196375138,0.672647495149785
"17","EZH2",0.000302554873943514,0.405252858718087,0.798159327977204
"18","APP",1.38907236360082e-17,0.427329718300382,0.810266984215346
"19","RGP1",1.76673317032884e-21,0.486983036623878,0.835972375393214
"20","SPARCL1",4.16288728517166e-26,0.0627323939816107,0.423006098624899
"21","GTF2H4",0.000172690045028035,0.0656080152112103,0.425533280410266
"22","ALCAM",2.64404178393252e-05,0.0772744113469946,0.450881952865819
"23","KHSRP",1.45793887569695e-09,0.551687188949086,0.870873970777299
"24","PMP22",1.16658269504072e-05,0.102171652131977,0.502864122818905
"25","ANP32A",1.35692314604539e-05,0.201340458510754,0.630739224631737
"26","TK1",5.06464095963701e-07,0.878138508623593,0.974443061337509
"27","MAN2A2",1.72044486250766e-05,0.0743284419283619,0.445582513492216
"28","SLC6A9",5.84434311360856e-07,0.963655467985518,0.993879613255622
"29","CCNE1",9.28381878873001e-05,0.509243276450373,0.845547373534874
"30","IL2RG",3.0606542784499e-09,0.0696873677505348,0.43361028822555
"31","ANP32B",0.00070528676627018,0.0470531716630651,0.369979733350676
"32","GOT2",0.000105138793448392,0.0757291823012728,0.446977384482577
"33","RAB8A",0.000576001352334116,0.234657947037841,0.660305466915349
"34","AGTR1",3.87814700730257e-06,0.0208532379159049,0.242906728053459
"35","FH",0.000290309102829539,0.158006133465397,0.58034013764728
"36","PLCB2",4.1645829909819e-08,0.174521788423906,0.598509374490348
"37","UGP2",2.57573602302815e-07,0.47851067718661,0.832633963486515
"38","COPS5",3.19394428615972e-07,0.177736849113778,0.601449971356277
"39","ZNF91",1.82091014474886e-06,0.2086313069777,0.638207326169489
"40","ALPP",0.166166503028859,0.000133194713759386,0.00926712311489546
"41","SLCO2A1",1.23247446207318e-12,0.131362254229397,0.552472601744755
"42","MYL12A",0.00517727449176711,0.0110755721637089,0.181364527457304
"43","TROAP",5.13812612289446e-07,0.886204530670333,0.975902964043204
"44","MX2",8.61015095040617e-06,0.0669259485419801,0.426092103314358
"45","PPP1R11",0.000108283644700352,0.169496764124431,0.593238674435508
"46","LPP",4.14248410955283e-20,0.896050993409886,0.979449217266888
"47","RAC2",2.8194150270462e-06,0.181906121457297,0.606549888852902
"48","TMEM97",5.66280269868922e-06,0.238880994603143,0.663205276431459
"49","TLR1",2.8161159155224e-08,0.0870693762535151,0.474285380493643
"50","LITAF",2.78830525565973e-06,0.206294227391068,0.636692822832355
"51","TEF",4.88311676308649e-06,0.249721456434562,0.673574104480813
"52","POLB",9.0281300237497e-09,0.40617487156095,0.798159327977204
"53","CD163",8.230398365362e-54,0.489414556984717,0.839205244837125
"54","TERF1",2.85941536773511e-05,0.318717877931533,0.73246067412338
"55","GPC1",0.000750623543168826,0.281202002909815,0.69912268400751
"56","STAT2",0.000547917180670025,0.0561348074506976,0.39846563390952
"57","HLA-DMA",1.5725792457491e-19,0.225265903450954,0.655241576302459
"58","ZNF43",3.655483530364e-06,0.473412367310337,0.830313851944474
"59","TPM3",0.000185746433188648,0.00331220137006041,0.084969992688924
"60","PTAFR",0.00872134156921674,0.0913224663606892,0.483125305908162
"61","ARF6",0.0366740932753557,4.27341955551388e-05,0.00392470851978395
"62","GPR68",2.9197347327484e-05,0.830790423990082,0.966969684819563
"63","CLDN5",0.000211963510990788,0.00283730049826851,0.0780172687907126
"64","L1CAM",1.61293788827021e-05,0.744974877439937,0.935963721652823
"65","PTGDS",3.37449034356746e-13,0.0488882300114409,0.376669047336471
"66","UCP3",0.000624616160924077,0.987951661538749,0.998872323182297
"67","C8G",2.15270130319834e-08,0.617212513855685,0.8840423779243
"68","INPP5A",0.000201271606973763,0.0304484726043653,0.294977608015286
"69","CDK4",1.44005216773851e-12,0.226309481710736,0.655241576302459
"70","TIMP3",1.25029950427918e-05,0.074720498401132,0.445594384256823
"71","PEBP1",2.76840664768102e-07,0.0848231214264908,0.471280002378493
"72","KLHDC10",7.80653539010519e-09,0.731390406339509,0.93059236334785
"73","PKMYT1",6.07229555803008e-09,0.87213466027791,0.973026190574206
"74","KTN1",1.61459124563322e-07,0.144473090075195,0.567851563033105
"75","PPP1R10",2.02890576160281e-21,0.367560325125891,0.769402223252922
"76","PWP1",0.0107159669259072,0.00123282017904224,0.0452888820972957
"77","PNLIPRP2",0.000182399755441399,0.289109788922656,0.706541857760956
"78","PON2",3.25741280591664e-14,0.0457674966204957,0.364868653613396
"79","PLEK",0.000235592881564975,0.229666985814705,0.657910666787976
"80","SLC9A3",1.5875000360487e-05,0.881554946377451,0.975224940894879
"81","ITGB7",2.26781046527291e-14,0.144804990048396,0.567851563033105
"82","POLD2",0.00370823650141297,0.0380527818228049,0.335773961781813
"83","LRP1",6.76201490030039e-06,0.00245973266681898,0.07240443850021
"84","CPS1",0.0098766221762928,0.0260158085076756,0.272977611897759
"85","MAGEA11",0.0184720491461988,0.450908314977736,0.823943884750403
"86","CRABP2",0.03788817956811,0.18394861069766,0.606818980117568
"87","TPM1",1.58078958690192e-08,0.819022734380919,0.961634465936379
"88","PTPN11",3.07751607397025e-17,0.776889893567022,0.948545171831897
"89","DMPK",0.00231848974642557,0.00649827732009953,0.128837885085343
"90","MEF2A",2.13511621137429e-14,0.42428971758953,0.810266984215346
"91","UBB",5.2173965112798e-19,0.86266651728797,0.971160737285207
"92","ST3GAL2",2.63931769569874e-06,0.834937892053477,0.966969684819563
"93","SLC12A1",0.000521133655393784,0.117221788379276,0.530264135833741
"94","DSTN",0.00134146230153294,0.0934297657919277,0.487343485911868
"95","SCAMP1",7.69668479152986e-06,0.343926770963407,0.747598559901408
"96","CD74",1.9344438746024e-12,0.452062300093509,0.825067600170665
"97","GTPBP1",5.77202927638499e-07,0.606695389772855,0.882134304351433
"98","RAB31",2.55200140605759e-11,0.304044762682974,0.719699234116509
"99","GJB1",0.00310660553122211,0.172524593053186,0.597929150720145
"100","EGR2",3.68583310270157e-28,0.0667212460573588,0.425533280410266
"101","GEM",3.87597139091388e-11,0.0166548660405854,0.221628996857077
"102","MC1R",1.69594703583509e-05,0.855271234299361,0.969490374698264
"103","GHRHR",4.81136565989028e-05,0.331970254141637,0.739544521584495
"104","TOMM20",1.38010362731621e-06,0.705717740562141,0.918553249620565
"105","TEAD4",0.000309276133241555,0.0512001861542524,0.38748645876107
"106","PDE1B",0.0203045730783953,0.00786267383138807,0.145015374843024
"107","TGM2",6.45496753360898e-07,0.016975843094729,0.221989161503928
"108","TFDP1",0.000101168486788644,0.231941666917279,0.659030208887978
"109","CD22",3.15509357657365e-06,0.249931109408944,0.673574104480813
"110","ANK2",1.20607663558053e-12,0.00642342453977348,0.128563006717886
"111","IRF1",3.8455229269874e-11,0.140669789946629,0.565140573433876
"112","KPNA5",1.28614987536515e-06,0.731837525213442,0.93059236334785
"113","COPS6",2.38560912795433e-10,0.217184712858597,0.649714789216077
"114","SOX11",8.46920220426865e-06,0.569700582330457,0.873875520804112
"115","RAC1",2.38233718271589e-06,0.126175979087852,0.546454066873809
"116","PGM1",0.00283785303137354,0.0026389129590815,0.0746258831515748
"117","KLF1",8.32464539639869e-05,0.150832109441687,0.571829537213324
"118","SNAP25",7.8365045535218e-05,0.00291113256526302,0.0781749750858935
"119","WNT7A",4.66649415693694e-08,0.982301068141728,0.997948341793543
"120","SERPINA3",3.51200681725802e-23,0.531844504841099,0.862557982729091
"121","PSMD4",4.61630975662499e-08,0.167990154148229,0.590666759455335
"122","PDHA1",7.51924669882777e-07,0.0955946764601887,0.491299613767391
"123","PTDSS1",0.000871558464386775,0.410882607211095,0.800634942701271
"124","LGALS3BP",2.7766555860855e-11,0.548426192586017,0.869201630260468
"125","SCNN1A",2.29888175563546e-05,0.0114571246015106,0.184234141088098
"126","SUMO1",1.1144486315098e-13,0.388078502545346,0.788386250875976
"127","KHDRBS1",0.000907577020546652,0.238035499736609,0.661700038136806
"128","IMPDH2",5.37251359960456e-16,0.364368853991396,0.765407949464085
"129","TAL1",9.09541673511541e-07,0.201669850196799,0.630739224631737
