"","genes","QEp","pval","tau2","I2","num_exp","qval"
"1","ACVRL1",2.85188826999359e-14,0.0275982869994215,0.250674847350481,94.9235211394188,7,0.340858843201551
"2","EVI2A",8.78799636399001e-07,0.108545536127292,0.0803193977276013,86.7411028454216,7,0.606725815624517
"3","USP13",1.08904935867188e-15,0.20239587692271,0.123928881746113,94.9786607256161,7,0.726171346776788
"4","ABCD3",4.49413041750062e-08,0.25206237236446,0.0536084758981872,91.513634100777,7,0.769293062139714
"5","TYMS",1.24597326560736e-09,0.553368995554846,0.120327323645976,95.1151595162974,7,0.905877046081527
"6","SLC25A4",0.0013167483984323,5.7580606414267e-05,0.0204408463919186,82.7718146539619,7,0.00734583724344885
"7","NUCB1",1.52774875071705e-07,0.53801981185871,0.0592057521811076,90.7254713772336,6,0.900768558899077
"8","AKAP1",8.85809478720045e-09,0.221663402493104,0.100156328058485,94.0437489668194,7,0.74436607265729
"9","PSMC1",1.14703317797304e-05,0.202871067327779,0.0670086956314609,97.4126683580358,6,0.726171346776788
"10","KIF14",7.86189361843469e-05,0.224402379641208,0.0316277782007097,86.107325651955,7,0.746549130075413
"11","KRR1",5.71151120169586e-09,0.320648266678863,0.0559002206348733,91.4999386324311,7,0.812880662090365
"12","MAP3K10",1.29538563566027e-07,0.261554760510366,0.0815374821468654,94.6922077808208,7,0.775360743444223
"13","FKBP2",2.2819559637266e-14,0.239247893129473,0.0902438186359138,94.2640254597884,7,0.759141136089737
"14","DDX1",0.000119737206049307,0.0956483141093951,0.0392297202035736,92.4342158686556,7,0.585277541794581
"15","EIF2S2",3.36710561260188e-08,0.0455863187134606,0.0499201148227645,89.8854100527386,7,0.437208761769345
"16","ALDH4A1",0.00109888677913867,0.0306082112378296,0.0239258760865923,83.2666399592641,6,0.355759923852678
"17","PGC",4.61732287026956e-08,0.190941470366484,0.458452239000686,90.6771678122004,7,0.714455409259902
"18","RAD23A",3.86976033439755e-10,0.249020196375138,0.0596818611333772,93.1891659154197,7,0.766543266433958
"19","GARS",3.14871195321667e-06,0.284888891884107,0.153958709055747,94.4530598902147,6,0.794236828263661
"20","EZH2",0.000302554873943513,0.405252858718087,0.0376957469843305,83.2846140854646,7,0.854893350339454
"21","APP",1.38907236360084e-17,0.427329718300382,0.16021789307877,95.7441854080286,7,0.862770391818067
"22","RGP1",1.76673317032884e-21,0.486983036623878,0.0653613913700203,95.8122168798663,7,0.881425953410344
"23","SPARCL1",4.1628872851716e-26,0.0627323939816108,0.306462845643808,96.0259795164091,7,0.498261065278207
"24","GALM",1.52036987761705e-11,0.747789352196725,0.063905173835753,90.9298552997805,6,0.953021005476534
"25","GTF2H4",0.000172690045028036,0.0656080152112103,0.0158306581672814,81.7643918107289,7,0.506543811518786
"26","ALCAM",2.64404178393251e-05,0.0772744113469945,0.0815488302685604,89.7329170714175,7,0.540223798721811
"27","KHSRP",1.45793887569695e-09,0.551687188949086,0.0557636811213988,94.6406652998285,7,0.905819148914442
"28","TROVE2",5.4912196841838e-07,0.16084420337284,0.0643453965353665,93.7946717227946,6,0.685100464834122
"29","PMP22",1.16658269504072e-05,0.102171652131977,0.0475954426898076,90.3292961412703,7,0.596089582729086
"30","ANP32A",1.35692314604539e-05,0.201340458510754,0.0898078309713124,93.9389656956503,7,0.725880051043152
"31","TK1",5.06464095963701e-07,0.878138508623593,0.049897437696867,87.9573170082844,7,0.98011648649162
"32","KIAA0101",0.002633062831048,0.067374520519812,0.0751231910813245,84.9913848871561,6,0.510155052266519
"33","MAN2A2",1.72044486250766e-05,0.0743284419283618,0.0310743589323197,88.7940529619149,7,0.533433296357356
"34","SLC6A9",5.84434311360854e-07,0.963655467985518,0.038145047390025,88.7004295925996,7,0.993931389377128
"35","CCNE1",9.28381878873002e-05,0.509243276450373,0.0380439565236567,84.940754994977,7,0.88770267706379
"36","IL2RG",3.06065427844991e-09,0.0696873677505349,0.0834162983015259,88.1793008155533,7,0.518397126370512
"37","ANP32B",0.000705286766270181,0.0470531716630651,0.02643226585877,89.362430236439,7,0.442981803924703
"38","GOT2",0.000105138793448391,0.0757291823012727,0.0230771532891593,91.32929925275,7,0.537266143499372
"39","RAB8A",0.000576001352334116,0.234657947037841,0.0358270431201934,91.0946032094354,7,0.754396795177486
"40","AGTR1",3.87814700730259e-06,0.0208532379159048,0.0986230197227045,90.6889540337088,7,0.294223995892948
"41","FH",0.000290309102829539,0.158006133465398,0.0479933422907109,92.7650619201322,7,0.680210153825046
"42","PLCB2",4.16458299098191e-08,0.174521788423906,0.055695168791385,89.2566621197797,7,0.69814773809728
"43","UGP2",2.57573602302816e-07,0.47851067718661,0.0582098575473486,93.2185517706791,7,0.879154016683402
"44","RPL24",3.83062173815355e-08,0.164604402116408,0.0456367335603889,94.4678009033022,6,0.687721486525184
"45","COPS5",3.19394428615972e-07,0.177736849113778,0.0596818030854554,96.2262740346104,7,0.7003080403879
"46","ZNF91",1.82091014474885e-06,0.208631306977699,0.0988874440141566,94.3500436071758,7,0.732271827868184
"47","ALPP",0.16616650302886,0.000133194713759386,0.00668930608161916,36.1970427282477,7,0.0135775759648025
